No Partido,Fecha y Hora,Match,Local,Visitante,Resultado,Marcador No Definitivo,Estadio,Goles Local,Goles Visitante
9,13 June 1998,Group E,South Korea,Mexico,1-3,,"Stade Gerland, Lyon",,
25,20 June 1998,Group E,Netherlands,South Korea,5-0,,"Stade Vélodrome, Marseille",,
26,20 June 1998,Group E,Belgium,Mexico,2-2,,"Parc Lescure, Bordeaux",,
41,25 June 1998,Group E,Belgium,South Korea,1-1,,"Parc des Princes, Paris",,
42,25 June 1998,Group E,Netherlands,Mexico,2-2,,"Stade Geoffroy-Guichard, Saint-Étienne",,
12,14 June 1998,Group F,Yugoslavia,Iran,1-0,,"Stade Geoffroy-Guichard, Saint-Étienne",,
14,15 June 1998,Group F,Germany,United States,2-0,,"Parc des Princes, Paris",,
29,21 June 1998,Group F,Germany,Yugoslavia,2-2,,"Stade Félix Bollaert, Lens",,
30,21 June 1998,Group F,United States,Iran,1-2,,"Stade Gerland, Lyon",,
43,25 June 1998,Group F,Germany,Iran,2-0,,"Stade de la Mosson, Montpellier",,
44,25 June 1998,Group F,United States,Yugoslavia,0-1,,"Stade de la Beaujoire, Nantes",,
15,15 June 1998,Group G,Romania,Colombia,1-0,,"Stade Gerland, Lyon",,
16,15 June 1998,Group G,England,Tunisia,2-0,,"Stade Vélodrome, Marseille",,
31,22 June 1998,Group G,Colombia,Tunisia,1-0,,"Stade de la Mosson, Montpellier",,
32,22 June 1998,Group G,Romania,England,2-1,,"Stade de Toulouse, Toulouse",,
45,26 June 1998,Group G,Romania,Tunisia,1-1,,"Stade de France, Saint-Denis",,
46,26 June 1998,Group G,Colombia,England,0-2,,"Stade Félix Bollaert, Lens",,
11,14 June 1998,Group H,Jamaica,Croatia,1-3,,"Stade Félix Bollaert, Lens",,
13,14 June 1998,Group H,Argentina,Japan,1-0,,"Stade de Toulouse, Toulouse",,
27,20 June 1998,Group H,Japan,Croatia,0-1,,"Stade de la Beaujoire, Nantes",,
28,21 June 1998,Group H,Argentina,Jamaica,5-0,,"Parc des Princes, Paris",,
47,26 June 1998,Group H,Japan,Jamaica,1-2,,"Stade Gerland, Lyon",,
48,26 June 1998,Group H,Argentina,Croatia,1-0,,"Parc Lescure, Bordeaux",,
49,15 June 2002,Round of 16,Germany,Paraguay,1-0,,"Jeju World Cup Stadium, Jeju",,
50,15 June 2002,Round of 16,Denmark,England,0-3,,"Niigata Stadium, Niigata",,
51,16 June 2002,Round of 16,Sweden,Senegal,1-2 a.e.t. (1-1),(1-1),"Ōita Stadium, Ōita",,
52,16 June 2002,Round of 16,Spain,Ireland,3-2 pen. 1-1 a.e.t. (1-1),(1-1),"Suwon World Cup Stadium, Suwon",,
53,17 June 2002,Round of 16,Mexico,United States,0-2,,"Jeonju World Cup Stadium, Jeonju",,
54,17 June 2002,Round of 16,Brazil,Belgium,2-0,,"Kobe Wing Stadium, Kobe",,
55,18 June 2002,Round of 16,Japan,Turkey,0-1,,"Miyagi Stadium, Miyagi",,
56,18 June 2002,Round of 16,South Korea,Italy,2-1 a.e.t. (1-1),(1-1),"Daejeon World Cup Stadium, Daejeon",,
57,21 June 2002,Quarter finals,England,Brazil,1-2,,"Shizuoka Stadium, Shizuoka",,
58,21 June 2002,Quarter finals,Germany,United States,1-0,,"Munsu Cup Stadium, Ulsan",,
59,22 June 2002,Quarter finals,Spain,South Korea,3-5 pen. 0-0 a.e.t. (0-0),(0-0),"Gwangju World Cup Stadium, Gwangju",,
60,22 June 2002,Quarter finals,Senegal,Turkey,0-1 a.e.t. (0-0),(0-0),"Nagai Stadium, Osaka",,
61,25 June 2002,Semi finals,Germany,South Korea,1-0,,"Seoul World Cup Stadium, Seoul",,
62,26 June 2002,Semi finals,Brazil,Turkey,1-0,,"Saitama Stadium, Saitama",,
63,29 June 2002,Third place play off,South Korea,Turkey,2-3,,"Daegu World Cup Stadium, Daegu",,
64,30 June 2002,Final,Germany,Brazil,0-2,,"International Stadium Yokohama, Yokohama",,
1,31 May 2002,Group A,France,Senegal,0-1,,"Seoul World Cup Stadium, Seoul",,
3,1 June 2002,Group A,Uruguay,Denmark,1-2,,"Munsu Cup Stadium, Ulsan",,
18,6 June 2002,Group A,France,Uruguay,0-0,,"Asiad Main Stadium, Busan",,
19,6 June 2002,Group A,Denmark,Senegal,1-1,,"Daegu World Cup Stadium, Daegu",,
33,11 June 2002,Group A,Denmark,France,2-0,,"Incheon Munhak Stadium, Incheon",,
34,11 June 2002,Group A,Senegal,Uruguay,3-3,,"Suwon World Cup Stadium, Suwon",,
6,2 June 2002,Group B,Paraguay,South Africa,2-2,,"Asiad Main Stadium, Busan",,
8,2 June 2002,Group B,Spain,Slovenia,3-1,,"Gwangju World Cup Stadium, Gwangju",,
22,7 June 2002,Group B,Spain,Paraguay,3-1,,"Jeonju World Cup Stadium, Jeonju",,
24,8 June 2002,Group B,South Africa,Slovenia,1-0,,"Daegu World Cup Stadium, Daegu",,
39,12 June 2002,Group B,South Africa,Spain,2-3,,"Daejeon World Cup Stadium, Daejeon",,
40,12 June 2002,Group B,Slovenia,Paraguay,1-3,,"Jeju World Cup Stadium, Jeju",,
10,3 June 2002,Group C,Brazil,Turkey,2-1,,"Munsu Cup Stadium, Ulsan",,
12,4 June 2002,Group C,China,Costa Rica,0-2,,"Gwangju World Cup Stadium, Gwangju",,
26,8 June 2002,Group C,Brazil,China,4-0,,"Jeju World Cup Stadium, Jeju",,
28,9 June 2002,Group C,Costa Rica,Turkey,1-1,,"Incheon Munhak Stadium, Incheon",,
41,13 June 2002,Group C,Costa Rica,Brazil,2-5,,"Suwon World Cup Stadium, Suwon",,
42,13 June 2002,Group C,Turkey,China,3-0,,"Seoul World Cup Stadium, Seoul",,
14,4 June 2002,Group D,South Korea,Poland,2-0,,"Asiad Main Stadium, Busan",,
16,5 June 2002,Group D,United States,Portugal,3-2,,"Suwon World Cup Stadium, Suwon",,
30,10 June 2002,Group D,South Korea,United States,1-1,,"Daegu World Cup Stadium, Daegu",,
32,10 June 2002,Group D,Portugal,Poland,4-0,,"Jeonju World Cup Stadium, Jeonju",,
47,14 June 2002,Group D,Portugal,South Korea,0-1,,"Incheon Munhak Stadium, Incheon",,
48,14 June 2002,Group D,Poland,United States,3-1,,"Daejeon World Cup Stadium, Daejeon",,
2,1 June 2002,Group E,Ireland,Cameroon,1-1,,"Niigata Stadium, Niigata",,
4,1 June 2002,Group E,Germany,Saudi Arabia,8-0,,"Sapporo Dome, Sapporo",,
17,5 June 2002,Group E,Germany,Ireland,1-1,,"Kashima Soccer Stadium, Ibaraki",,
19,6 June 2002,Group E,Cameroon,Saudi Arabia,1-0,,"Saitama Stadium, Saitama",,
35,11 June 2002,Group E,Cameroon,Germany,0-2,,"Shizuoka Stadium, Shizuoka",,
36,11 June 2002,Group E,Saudi Arabia,Ireland,0-3,,"International Stadium Yokohama, Yokohama",,
5,2 June 2002,Group F,England,Sweden,1-1,,"Saitama Stadium, Saitama",,
7,2 June 2002,Group F,Argentina,Nigeria,1-0,,"Kashima Soccer Stadium, Ibaraki",,
21,7 June 2002,Group F,Sweden,Nigeria,2-1,,"Kobe Wing Stadium, Kobe",,
23,7 June 2002,Group F,Argentina,England,0-1,,"Sapporo Dome, Sapporo",,
37,12 June 2002,Group F,Sweden,Argentina,1-1,,"Miyagi Stadium, Miyagi",,
38,12 June 2002,Group F,Nigeria,England,0-0,,"Nagai Stadium, Osaka",,
9,3 June 2002,Group G,Croatia,Mexico,0-1,,"Niigata Stadium, Niigata",,
11,3 June 2002,Group G,Italy,Ecuador,2-0,,"Sapporo Dome, Sapporo",,
25,8 June 2002,Group G,Italy,Croatia,1-2,,"Kashima Soccer Stadium, Ibaraki",,
27,9 June 2002,Group G,Mexico,Ecuador,2-1,,"Miyagi Stadium, Miyagi",,
43,13 June 2002,Group G,Mexico,Italy,1-1,,"Ōita Stadium, Ōita",,
44,13 June 2002,Group G,Ecuador,Croatia,1-0,,"International Stadium Yokohama, Yokohama",,
13,4 June 2002,Group H,Japan,Belgium,2-2,,"Saitama Stadium, Saitama",,
15,5 June 2002,Group H,Russia,Tunisia,2-0,,"Kobe Wing Stadium, Kobe",,
29,9 June 2002,Group H,Japan,Russia,1-0,,"International Stadium Yokohama, Yokohama",,
31,10 June 2002,Group H,Tunisia,Belgium,1-1,,"Ōita Stadium, Ōita",,
45,14 June 2002,Group H,Tunisia,Japan,0-2,,"Nagai Stadium, Osaka",,
46,14 June 2002,Group H,Belgium,Russia,3-2,,"Shizuoka Stadium, Shizuoka",,
49,Sat Jun/24 2006,Round of 16,Germany,Sweden,2-0 (2-0),(2-0),"Allianz Arena, München",,
50,Sat Jun/24 2006,Round of 16,Argentina,Mexico,"2-1 a.e.t. (1-1, 1-1)","(1-1, 1-1)","Zentralstadion, Leipzig",,
51,Sun Jun/25 2006,Round of 16,England,Ecuador,1-0 (0-0),(0-0),"Gottlieb-Daimler-Stadion, Stuttgart",,
52,Sun Jun/25 2006,Round of 16,Portugal,Netherlands,1-0 (1-0),(1-0),"Frankenstadion, Nürnberg",,
53,Mon Jun/26 2006,Round of 16,Italy,Australia,1-0 (0-0),(0-0),"Fritz-Walter-Stadion, Kaiserslautern",,
54,Mon Jun/26 2006,Round of 16,Switzerland,Ukraine,0-3 pen. 0-0 a.e.t. (0-0),(0-0),"RheinEnergieStadion, Köln",,
55,Tue Jun/27 2006,Round of 16,Brazil,Ghana,3-0 (2-0),(2-0),"Signal Iduna Park, Dortmund",,
56,Tue Jun/27 2006,Round of 16,Spain,France,1-3 (1-1),(1-1),"AWD-Arena, Hannover",,
57,Fri Jun/30 2006,Quarterfinals,Germany,Argentina,"4-2 pen. 1-1 a.e.t. (1-1, 0-0)","(1-1, 0-0)","Olympiastadion, Berlin",,
58,Fri Jun/30 2006,Quarterfinals,Italy,Ukraine,3-0 (1-0),(1-0),"AOL Arena, Hamburg",,
59,Sat Jul/1 2006,Quarterfinals,England,Portugal,1-3 pen. 0-0 a.e.t. (0-0),(0-0),"Veltins-Arena, Gelsenkirchen",,
60,Sat Jul/1 2006,Quarterfinals,Brazil,France,0-1 (0-0),(0-0),"Commerzbank-Arena, Frankfurt",,
61,Tue Jul/4 2006,Semifinals,Germany,Italy,0-2 a.e.t. (0-0),(0-0),"Signal Iduna Park, Dortmund", -,Grosso 119' Del Piero 120+1'
62,Wed Jul/5 2006,Semifinals,Portugal,France,0-1 (0-1),(0-1),"Allianz Arena, München", -,Zidane 33' (pen.)
63,Sat Jul/8 2006,Third place play off,Germany,Portugal,3-1 (0-0),(0-0),"Gottlieb-Daimler-Stadion, Stuttgart"," Schweinsteiger 56', 78' Petit 60' (o.g.)",Nuno Gomes 88'
64,Sun Jul/9 2006,Final,Italy,France,"5-3 pen. 1-1 a.e.t. (1-1, 1-1)","(1-1, 1-1)","Olympiastadion, Berlin", Materazzi 19',Zidane 7' (pen.)
1,Fri Jun/9 2006,Group A,Germany,Costa Rica,4-2 (2-1),(2-1),"Allianz Arena, München",,
2,Fri Jun/9 2006,Group A,Poland,Ecuador,0-2 (0-1),(0-1),"Veltins-Arena, Gelsenkirchen",,
17,Wed Jun/14 2006,Group A,Germany,Poland,1-0 (0-0),(0-0),"Signal Iduna Park, Dortmund",,
18,Thu Jun/15 2006,Group A,Ecuador,Costa Rica,3-0 (1-0),(1-0),"AOL Arena, Hamburg",,
33,Tue Jun/20 2006,Group A,Ecuador,Germany,0-3 (0-2),(0-2),"Olympiastadion, Berlin",,
34,Tue Jun/20 2006,Group A,Costa Rica,Poland,1-2 (1-1),(1-1),"AWD-Arena, Hannover",,
3,Sat Jun/10 2006,Group B,England,Paraguay,1-0 (1-0),(1-0),"Commerzbank-Arena, Frankfurt",,
4,Sat Jun/10 2006,Group B,Trinidad and,Sweden,0-0,,"Signal Iduna Park, Dortmund",,
19,Thu Jun/15 2006,Group B,England,and Tobago,2-0 (0-0),(0-0),"Frankenstadion, Nürnberg",,
20,Thu Jun/15 2006,Group B,Sweden,Paraguay,1-0 (0-0),(0-0),"Olympiastadion, Berlin",,
35,Tue Jun/20 2006,Group B,Sweden,England,2-2 (0-1),(0-1),"RheinEnergieStadion, Köln",,
36,Tue Jun/20 2006,Group B,Paraguay,and Tobago,2-0 (1-0),(1-0),"Fritz-Walter-Stadion, Kaiserslautern",,
5,Sat Jun/10 2006,Group C,Error Error,Error Error,2-1 (2-0),(2-0),"AOL Arena, Hamburg",,
6,Sun Jun/11 2006,Group C,Serbia and,Netherlands,0-1 (0-1),(0-1),"Zentralstadion, Leipzig",,
21,Fri Jun/16 2006,Group C,Argentina,and Montenegro,6-0 (3-0),(3-0),"Veltins-Arena, Gelsenkirchen",,
22,Fri Jun/16 2006,Group C,Error Error,Error Error,2-1 (2-1),(2-1),"Gottlieb-Daimler-Stadion, Stuttgart",,
37,Wed Jun/21 2006,Group C,Netherlands,Argentina,0-0,,"Commerzbank-Arena, Frankfurt",,
38,Wed Jun/21 2006,Group C,Serbia and,and Montenegro,3-2 (1-2),(1-2),"Allianz Arena, München",,
7,Sun Jun/11 2006,Group D,Mexico,Iran,3-1 (1-1),(1-1),"Frankenstadion, Nürnberg",,
8,Sun Jun/11 2006,Group D,Angola,Portugal,0-1 (0-1),(0-1),"RheinEnergieStadion, Köln",,
23,Fri Jun/16 2006,Group D,Mexico,Angola,0-0,,"AWD-Arena, Hannover",,
24,Sat Jun/17 2006,Group D,Portugal,Iran,2-0 (0-0),(0-0),"Commerzbank-Arena, Frankfurt",,
39,Wed Jun/21 2006,Group D,Portugal,Mexico,2-1 (2-1),(2-1),"Veltins-Arena, Gelsenkirchen",,
40,Wed Jun/21 2006,Group D,Iran,Angola,1-1 (0-0),(0-0),"Zentralstadion, Leipzig",,
9,Mon Jun/12 2006,Group E,Italy,Ghana,2-0 (1-0),(1-0),"AWD-Arena, Hannover",,
10,Mon Jun/12 2006,Group E,United States,Czech Republic,0-3 (0-2),(0-2),"Veltins-Arena, Gelsenkirchen",,
25,Sat Jun/17 2006,Group E,Italy,United States,1-1 (1-1),(1-1),"Fritz-Walter-Stadion, Kaiserslautern",,
26,Sat Jun/17 2006,Group E,Czech Republic,Ghana,0-2 (0-1),(0-1),"RheinEnergieStadion, Köln",,
41,Thu Jun/22 2006,Group E,Czech Republic,Italy,0-2 (0-1),(0-1),"AOL Arena, Hamburg",,
42,Thu Jun/22 2006,Group E,Ghana,United States,2-1 (2-1),(2-1),"Frankenstadion, Nürnberg",,
11,Tue Jun/13 2006,Group F,Brazil,Croatia,1-0 (1-0),(1-0),"Olympiastadion, Berlin",,
12,Mon Jun/12 2006,Group F,Australia,Japan,3-1 (0-1),(0-1),"Fritz-Walter-Stadion, Kaiserslautern",,
27,Sun Jun/18 2006,Group F,Brazil,Australia,2-0 (0-0),(0-0),"Allianz Arena, München",,
28,Sun Jun/18 2006,Group F,Japan,Croatia,0-0,,"Frankenstadion, Nürnberg",,
43,Thu Jun/22 2006,Group F,Japan,Brazil,1-4 (1-1),(1-1),"Signal Iduna Park, Dortmund",,
44,Thu Jun/22 2006,Group F,Croatia,Australia,2-2 (1-1),(1-1),"Gottlieb-Daimler-Stadion, Stuttgart",,
13,Tue Jun/13 2006,Group G,France,Switzerland,0-0,,"Gottlieb-Daimler-Stadion, Stuttgart",,
14,Tue Jun/13 2006,Group G,South Korea,Togo,2-1 (0-1),(0-1),"Commerzbank-Arena, Frankfurt",,
29,Sun Jun/18 2006,Group G,France,South Korea,1-1 (1-0),(1-0),"Zentralstadion, Leipzig",,
30,Mon Jun/19 2006,Group G,Togo,Switzerland,0-2 (0-1),(0-1),"Signal Iduna Park, Dortmund",,
45,Fri Jun/23 2006,Group G,Togo,France,0-2 (0-0),(0-0),"RheinEnergieStadion, Köln",,
46,Fri Jun/23 2006,Group G,Switzerland,South Korea,2-0 (1-0),(1-0),"AWD-Arena, Hannover",,
15,Wed Jun/14 2006,Group H,Spain,Ukraine,4-0 (2-0),(2-0),"Zentralstadion, Leipzig",,
16,Wed Jun/14 2006,Group H,Tunisia,Saudi Arabia,2-2 (1-0),(1-0),"Allianz Arena, München",,
31,Mon Jun/19 2006,Group H,Spain,Tunisia,3-1 (0-1),(0-1),"Gottlieb-Daimler-Stadion, Stuttgart",,
32,Mon Jun/19 2006,Group H,Saudi Arabia,Ukraine,0-4 (0-2),(0-2),"AOL Arena, Hamburg",,
47,Fri Jun/23 2006,Group H,Saudi Arabia,Spain,0-1 (0-1),(0-1),"Fritz-Walter-Stadion, Kaiserslautern",,
48,Fri Jun/23 2006,Group H,Ukraine,Tunisia,1-0 (0-0),(0-0),"Olympiastadion, Berlin",,
49,Sat Jun/26 2010 16:00,Round of 16,Uruguay,South Korea,2-1,,"Nelson Mandela Bay Stadium, Port Elizabeth",,
50,Sat Jun/26 2010 20:30,Round of 16,United States,Ghana,1-2 a.e.t. (1-1),(1-1),"Royal Bafokeng Stadium, Rustenburg",,
51,Sun Jun/27 2010 16:00,Round of 16,Germany,England,4-1,,"Free State Stadium, Bloemfontein",,
52,Sun Jun/27 2010 20:30,Round of 16,Argentina,Mexico,3-1,,"Soccer City, Johannesburg",,
53,Mon Jun/28 2010 16:00,Round of 16,Netherlands,Slovakia,2-1,,"Moses Mabhida Stadium, Durban",,
54,Mon Jun/28 2010 20:30,Round of 16,Brazil,Chile,3-0,,"Ellis Park Stadium, Johannesburg",,
55,Tue Jun/29 2010 16:00,Round of 16,Paraguay,Japan,5-3 pen. 0-0 a.e.t. (0-0),(0-0),"Loftus Versfeld Stadium, Pretoria",,
56,Tue Jun/29 2010 20:30,Round of 16,Spain,Portugal,1-0,,"Cape Town Stadium, Cape Town",,
57,Fri Jul/2 2010 16:00,Quarterfinals,Netherlands,Brazil,2-1,,"Nelson Mandela Bay Stadium, Port Elizabeth",,
58,Fri Jul/2 2010 20:30,Quarterfinals,Uruguay,Ghana,4-2 pen. 1-1 a.e.t. (1-1),(1-1),"Soccer City, Johannesburg",,
59,Sat Jul/3 2010 16:00,Quarterfinals,Argentina,Germany,0-4,,"Cape Town Stadium, Cape Town",,
60,Sat Jul/3 2010 20:30,Quarterfinals,Paraguay,Spain,0-1,,"Ellis Park Stadium, Johannesburg",,
61,Tue Jul/6 2010 20:30,Semifinals,Uruguay,Netherlands,2-3,,"Cape Town Stadium, Cape Town",,
62,Wed Jul/7 2010 20:30,Semifinals,Germany,Spain,0-1,,"Moses Mabhida Stadium, Durban",,
63,Sat Jul/10 2010 20:30,Third place play off,Uruguay,Germany,2-3,,"Nelson Mandela Bay Stadium, Port Elizabeth",,
64,Sun Jul/11 2010 20:30,Final,Netherlands,Spain,0-1 a.e.t. (0-0),(0-0),"Soccer City, Johannesburg",,
1,Fri Jun/11 2010 16:00,Group A,South Africa,Mexico,1-1,,"Soccer City, Johannesburg",,
2,Fri Jun/11 2010 20:30,Group A,Uruguay,France,0-0,,"Cape Town Stadium, Cape Town",,
17,Wed Jun/16 2010 20:30,Group A,South Africa,Uruguay,0-3,,"Loftus Versfeld Stadium, Pretoria",,
18,Thu Jun/17 2010 20:30,Group A,France,Mexico,0-2,,"Peter Mokaba Stadium, Polokwane",,
33,Tue Jun/22 2010 16:00,Group A,Mexico,Uruguay,0-1,,"Royal Bafokeng Stadium, Rustenburg",,
34,Tue Jun/22 2010 16:00,Group A,France,South Africa,1-2,,"Free State Stadium, Bloemfontein",,
4,Sat Jun/12 2010 13:30,Group B,South Korea,Greece,2-0,,"Nelson Mandela Bay Stadium, Port Elizabeth",,
3,Sat Jun/12 2010 16:00,Group B,Argentina,Nigeria,1-0,,"Ellis Park Stadium, Johannesburg",,
20,Thu Jun/17 2010 13:30,Group B,Argentina,South Korea,4-1,,"Soccer City, Johannesburg",,
19,Thu Jun/17 2010 16:00,Group B,Greece,Nigeria,2-1,,"Free State Stadium, Bloemfontein",,
35,Tue Jun/22 2010 20:30,Group B,Nigeria,South Korea,2-2,,"Moses Mabhida Stadium, Durban",,
36,Tue Jun/22 2010 20:30,Group B,Greece,Argentina,0-2,,"Peter Mokaba Stadium, Polokwane",,
5,Sat Jun/12 2010 20:30,Group C,England,United States,1-1,,"Royal Bafokeng Stadium, Rustenburg",,
6,Sun Jun/13 2010 13:30,Group C,Algeria,Slovenia,0-1,,"Peter Mokaba Stadium, Polokwane",,
22,Fri Jun/18 2010 16:00,Group C,Slovenia,United States,2-2,,"Ellis Park Stadium, Johannesburg",,
23,Fri Jun/18 2010 20:30,Group C,England,Algeria,0-0,,"Cape Town Stadium, Cape Town",,
38,Wed Jun/23 2010 16:00,Group C,United States,Algeria,1-0,,"Loftus Versfeld Stadium, Pretoria",,
37,Wed Jun/23 2010 16:00,Group C,Slovenia,England,0-1,,"Nelson Mandela Bay Stadium, Port Elizabeth",,
8,Sun Jun/13 2010 16:00,Group D,Serbia,Ghana,0-1,,"Loftus Versfeld Stadium, Pretoria",,
7,Sun Jun/13 2010 20:30,Group D,Germany,Australia,4-0,,"Moses Mabhida Stadium, Durban",,
21,Fri Jun/18 2010 13:30,Group D,Germany,Serbia,0-1,,"Nelson Mandela Bay Stadium, Port Elizabeth",,
24,Sat Jun/19 2010 16:00,Group D,Ghana,Australia,1-1,,"Royal Bafokeng Stadium, Rustenburg",,
40,Wed Jun/23 2010 20:30,Group D,Australia,Serbia,2-1,,"Mbombela Stadium, Nelspruit",,
39,Wed Jun/23 2010 20:30,Group D,Ghana,Germany,0-1,,"Soccer City, Johannesburg",,
9,Mon Jun/14 2010 13:30,Group E,Netherlands,Denmark,2-0,,"Soccer City, Johannesburg",,
10,Mon Jun/14 2010 16:00,Group E,Japan,Cameroon,1-0,,"Free State Stadium, Bloemfontein",,
25,Sat Jun/19 2010 13:30,Group E,Netherlands,Japan,1-0,,"Moses Mabhida Stadium, Durban",,
26,Sat Jun/19 2010 20:30,Group E,Cameroon,Denmark,1-2,,"Loftus Versfeld Stadium, Pretoria",,
43,Thu Jun/24 2010 20:30,Group E,Denmark,Japan,1-3,,"Royal Bafokeng Stadium, Rustenburg",,
44,Thu Jun/24 2010 20:30,Group E,Cameroon,Netherlands,1-2,,"Cape Town Stadium, Cape Town",,
11,Mon Jun/14 2010 20:30,Group F,Italy,Paraguay,1-1,,"Cape Town Stadium, Cape Town",,
12,Tue Jun/15 2010 13:30,Group F,New Zealand,Slovakia,1-1,,"Royal Bafokeng Stadium, Rustenburg",,
27,Sun Jun/20 2010 13:30,Group F,Slovakia,Paraguay,0-2,,"Free State Stadium, Bloemfontein",,
28,Sun Jun/20 2010 16:00,Group F,Italy,New Zealand,1-1,,"Mbombela Stadium, Nelspruit",,
41,Thu Jun/24 2010 16:00,Group F,Slovakia,Italy,3-2,,"Ellis Park Stadium, Johannesburg",,
42,Thu Jun/24 2010 16:00,Group F,Paraguay,New Zealand,0-0,,"Peter Mokaba Stadium, Polokwane",,
13,Tue Jun/15 2010 16:00,Group G,Error Error,Error Error,0-0,,"Nelson Mandela Bay Stadium, Port Elizabeth",,
14,Tue Jun/15 2010 20:30,Group G,Brazil,North Korea,2-1,,"Ellis Park Stadium, Johannesburg",,
29,Sun Jun/20 2010 20:30,Group G,Error Error,Error Error,3-1,,"Soccer City, Johannesburg",,
30,Mon Jun/21 2010 13:30,Group G,Portugal,North Korea,7-0,,"Cape Town Stadium, Cape Town",,
45,Fri Jun/25 2010 16:00,Group G,Portugal,Brazil,0-0,,"Moses Mabhida Stadium, Durban",,
46,Fri Jun/25 2010 16:00,Group G,North Korea,North Korea,0-3,,"Mbombela Stadium, Nelspruit",,
15,Wed Jun/16 2010 13:30,Group H,Honduras,Chile,0-1,,"Mbombela Stadium, Nelspruit",,
16,Wed Jun/16 2010 16:00,Group H,Spain,Switzerland,0-1,,"Moses Mabhida Stadium, Durban",,
31,Mon Jun/21 2010 16:00,Group H,Chile,Switzerland,1-0,,"Nelson Mandela Bay Stadium, Port Elizabeth",,
32,Mon Jun/21 2010 20:30,Group H,Spain,Honduras,2-0,,"Ellis Park Stadium, Johannesburg",,
47,Fri Jun/25 2010 20:30,Group H,Chile,Spain,1-2,,"Loftus Versfeld Stadium, Pretoria",,
48,Fri Jun/25 2010 20:30,Group H,Switzerland,Honduras,0-0,,"Free State Stadium, Bloemfontein",,
49,Sat Jun/28 2014 13:00,Round of 16,Brazil,Chile,"3-2 pen. 1-1 a.e.t. (1-1, 1-1)","(1-1, 1-1)","Estádio Mineirão, Belo Horizonte (UTC-3)  # 1A - 2B",David Luiz 18',Alexis Sánchez 32'
50,Sat Jun/28 2014 17:00,Round of 16,Colombia,Uruguay,2-0 (1-0),(1-0),"Estádio do Maracanã, Rio de Janeiro (UTC-3)   # 1C - 2D","James Rodríguez 28', 50'",
51,Sun Jun/29 2014 13:00,Round of 16,Netherlands,Mexico,2-1 (0-0),(0-0),"Estádio Castelão, Fortaleza (UTC-3)        # 1B - 2A",Wesley Sneijder 88' Klaas Jan Huntelaar 90' (pen),Giovani dos Santos 48'
52,Sun Jun/29 2014 17:00,Round of 16,Costa Rica,Greece,"5-3 pen. 1-1 a.e.t. (1-1, 0-0)","(1-1, 0-0)","Arena Pernambuco, Recife (UTC-3)     # 1D - 2C",Bryan Ruiz 52',Socratis Papastathopoulos 90'
53,Mon Jun/30 2014 13:00,Round of 16,France,Nigeria,2-0 (0-0),(0-0),"Estádio Nacional Mané Garrincha, Brasília (UTC-3)     # 1E - 2F",Paul Pogba 79' Joseph Yobo 90+2' (o.g.),
54,Mon Jun/30 2014 17:00,Round of 16,Germany,Algeria,"2-1 a.e.t. (0-0, 0-0)","(0-0, 0-0)","Estádio Beira-Rio, Porto Alegre (UTC-3)    # 1G - 2H",André Schürrle 92' Mesut Özil 120',Abdelmoumene Djabou 121'
55,Tue Jul/1 2014 13:00,Round of 16,Argentina,Switzerland,"1-0 a.e.t. (0-0, 0-0)","(0-0, 0-0)","Arena de São Paulo, São Paulo    # 1F - 2E",Ángel di María 118',
56,Tue Jul/1 2014 17:00,Round of 16,Belgium,United States,"2-1 a.e.t. (0-0, 0-0)","(0-0, 0-0)","Arena Fonte Nova, Salvador     # 1H - 2G",Kevin De Bruyne 93' Romelu Lukaku 105',Julian Green 107'
57,Fri Jul/4 2014 17:00,Quarter finals,Brazil,Colombia,2-1 (1-0),(1-0),"Estádio Castelão, Fortaleza    # W49 - W50",Thiago Silva 7' David Luiz 69',Rodríguez 80' (pen.)
58,Fri Jul/4 2014 13:00,Quarter finals,France,Germany,0-1 (0-1),(0-1),"Estádio do Maracanã, Rio de Janeiro (UTC-3)   # W53 - W54",-,Mats Hummels 13'
59,Sat Jul/5 2014 17:00,Quarter finals,Netherlands,Costa Rica,"4-3 pen. 0-0 a.e.t. (0-0, 0-0)","(0-0, 0-0)","Arena Fonte Nova, Salvador (UTC-3)    # W51 - W52",,
60,Sat Jul/5 2014 13:00,Quarter finals,Argentina,Belgium,1-0 (1-0),(1-0),"Estádio Nacional Mané Garrincha, Brasília (UTC-3)    # W55 - W56",Gonzalo Higuaín 8',
61,Tue Jul/8 2014 17:00,Semi finals,Brazil,Germany,1-7 (0-5),(0-5),"Estádio Mineirão, Belo Horizonte (UTC-3)   # W57 - W58",Oscar 90',"Thomas Müller 11' Miroslav Klose 23' Toni Kroos 24', 26' Sami Khedira 29' Andre Schürrle 69', 79'"
62,Wed Jul/9 2014 17:00,Semi finals,Netherlands,Argentina,"2-4 pen. 0-0 a.e.t. (0-0, 0-0)","(0-0, 0-0)","Arena de São Paulo, São Paulo (UTC-3)    # W59 - W69",,
63,Sat Jul/12 2014 17:00,Semi finals,Brazil,Netherlands,0-3 (0-2),(0-2),"Estádio Nacional Mané Garrincha, Brasília (UTC-3)   # L61 - L62",-,Robin Van Persie 3' (pen.) Daley Blind 17' Georginio Wijnaldum 90+1'
